sample_id	context	U_proportion	observed	adjust
GSM2099169	CG	0.750933040546464	0.249066959453536	0.194776895786554
GSM2099170	CG	0.727134539242307	0.272865460757693	0.218575397090711
GSM2099171	CG	0.703408346787719	0.296591653212281	0.242301589545299
GSM2099172	CG	0.741229664574958	0.258770335425042	0.20448027175806
GSM2099173	CG	0.704227484571271	0.29577251542873	0.241482451761748
GSM2099174	CG	0.73764359676011	0.26235640323989	0.208066339572908
GSM2099175	CG	0.719187606426313	0.280812393573687	0.226522329906705
GSM2099176	CG	0.725698640339113	0.274301359660887	0.220011295993905
GSM2099177	CG	0.73677204733145	0.26322795266855	0.208937889001568
GSM2099178	CG	0.724694229054836	0.275305770945164	0.221015707278182
GSM2099179	CG	0.717302152540878	0.282697847459122	0.22840778379214
GSM2099180	CG	0.722596410691912	0.277403589308088	0.223113525641106
GSM2099181	CG	0.71486052860463	0.28513947139537	0.230849407728388
GSM2099182	CG	0.727796691172794	0.272203308827206	0.217913245160224
GSM2099183	CG	0.710507280031104	0.289492719968896	0.235202656301914
GSM2099184	CG	0.740184163694018	0.259815836305982	0.205525772639
GSM2099185	CG	0.739389744176858	0.260610255823142	0.20632019215616
GSM2099186	CG	0.745186549146184	0.254813450853816	0.200523387186834
GSM2099187	CG	0.725836868918939	0.274163131081061	0.219873067414079
GSM2099188	CG	0.696268165524687	0.303731834475313	0.249441770808331
GSM2099189	CG	0.731606375712802	0.268393624287198	0.214103560620216
GSM2099190	CG	0.741402879350161	0.258597120649839	0.204307056982857
GSM2099191	CG	0.70908457710838	0.29091542289162	0.236625359224638
GSM2099192	CG	0.749945140246141	0.250054859753859	0.195764796086877
GSM2099193	CG	0.730581634231828	0.269418365768172	0.21512830210119
GSM2099194	CG	0.745115920456876	0.254884079543124	0.200594015876142
GSM2099195	CG	0.749677884925743	0.250322115074257	0.196032051407275
GSM2099196	CG	0.740946702170551	0.259053297829449	0.204763234162467
GSM2099197	CG	0.745794303539571	0.254205696460429	0.199915632793447
GSM2099198	CG	0.73636207098572	0.26363792901428	0.209347865347298
GSM2099199	CG	0.750860392100631	0.249139607899369	0.194849544232387
GSM2099200	CG	0.734012524648072	0.265987475351928	0.211697411684946
GSM2099201	CG	0.734620424165786	0.265379575834215	0.211089512167233
GSM2099202	CG	0.730399488289947	0.269600511710053	0.215310448043071
GSM2099203	CG	0.735786098400758	0.264213901599242	0.20992383793226
GSM2099204	CG	0.739293525952509	0.260706474047491	0.206416410380509
GSM2099205	CG	0.729132967431789	0.270867032568211	0.216576968901229
GSM2099206	CG	0.733201647809832	0.266798352190168	0.212508288523186
GSM2099207	CG	0.729119606672903	0.270880393327097	0.216590329660115
GSM2099208	CG	0.738849946047797	0.261150053952203	0.206859990285221
GSM2099209	CG	0.716728362165167	0.283271637834833	0.228981574167851
GSM2099210	CG	0.727497875585038	0.272502124414963	0.218212060747981
GSM2099211	CG	0.708351451090945	0.291648548909055	0.237358485242073
GSM2099212	CG	0.743713751299607	0.256286248700393	0.201996185033411
GSM2099213	CG	0.742254125352717	0.257745874647283	0.203455810980301
GSM2099214	CG	0.750026136006317	0.249973863993683	0.195683800326701
GSM2099215	CG	0.751935201420533	0.248064798579467	0.193774734912485
GSM2099216	CG	0.715230426827508	0.284769573172492	0.23047950950551
GSM2099217	CG	0.707980472557266	0.292019527442734	0.237729463775752
GSM2099218	CG	0.70368405293101	0.29631594706899	0.242025883402008
GSM2099219	CG	0.707617239273641	0.292382760726359	0.238092697059377
GSM2099220	CG	0.708848739983847	0.291151260016153	0.236861196349171
GSM2099221	CG	0.728124735171704	0.271875264828296	0.217585201161314
GSM2099222	CG	0.742969589381719	0.257030410618281	0.202740346951299
GSM2099223	CG	0.721814599660196	0.278185400339804	0.223895336672822
GSM2099224	CG	0.74340946300166	0.25659053699834	0.202300473331358
GSM2099225	CG	0.721528982499246	0.278471017500754	0.224180953833772
GSM2099226	CG	0.739739052041173	0.260260947958827	0.205970884291845
GSM2099227	CG	0.742274559687172	0.257725440312828	0.203435376645846
GSM2099228	CG	0.727419598652717	0.272580401347283	0.218290337680301
GSM2099229	CG	0.741204258919929	0.258795741080071	0.204505677413089
GSM2099231	CG	0.715413782507125	0.284586217492875	0.230296153825893
GSM2099232	CG	0.749409916416444	0.250590083583556	0.196300019916574
GSM2099233	CG	0.721739159497728	0.278260840502272	0.22397077683529
GSM2099235	CG	0.749432937968971	0.25056706203103	0.196276998364048
GSM2099237	CG	0.730436477155465	0.269563522844535	0.215273459177553
GSM2099238	CG	0.732125245846725	0.267874754153275	0.213584690486293
GSM2099239	CG	0.741000445850956	0.258999554149044	0.204709490482062
GSM2099240	CG	0.737107732722568	0.262892267277432	0.20860220361045
GSM2099241	CG	0.732529098880419	0.267470901119581	0.213180837452599
GSM2099242	CG	0.749070117293376	0.250929882706624	0.196639819039642
GSM2099243	CG	0.747882410446084	0.252117589553916	0.197827525886934
GSM2099244	CG	0.74081763585986	0.25918236414014	0.204892300473158
GSM2099245	CG	0.740708570246578	0.259291429753422	0.20500136608644
GSM2099246	CG	0.720361187483963	0.279638812516037	0.225348748849055
GSM2099248	CG	0.739786027965655	0.260213972034345	0.205923908367363
GSM2099249	CG	0.732748544091931	0.26725145590807	0.212961392241088
GSM2099250	CG	0.714290383106225	0.285709616893775	0.231419553226793
GSM2099251	CG	0.735735274755467	0.264264725244533	0.209974661577551
GSM2099252	CG	0.690730346846016	0.309269653153984	0.254979589487002
GSM2099253	CG	0.748129609226027	0.251870390773973	0.197580327106991
GSM2099254	CG	0.746447954953935	0.253552045046065	0.199261981379083
GSM2099255	CG	0.717080910738076	0.282919089261924	0.228629025594942
GSM2099256	CG	0.742134948743655	0.257865051256345	0.203574987589363
GSM2099257	CG	0.740088662719813	0.259911337280187	0.205621273613205
GSM2099259	CG	0.755281922183412	0.244718077816588	0.190428014149606
GSM2099260	CG	0.718120586411562	0.281879413588438	0.227589349921456
GSM2099261	CG	0.722463287439477	0.277536712560523	0.223246648893541
GSM2099262	CG	0.744339631992384	0.255660368007616	0.201370304340634
GSM2099263	CG	0.725695043758508	0.274304956241492	0.22001489257451
GSM2099264	CG	0.737429634113234	0.262570365886766	0.208280302219784
GSM2099267	CG	0.747001353954272	0.252998646045728	0.198708582378746
GSM2099268	CG	0.730159476522032	0.269840523477968	0.215550459810986
GSM2099269	CG	0.771574468085106	0.228425531914894	0.174135468247912
GSM2099270	CG	0.742781430970701	0.2572185690293	0.202928505362318
