Gene	P_Value	log	trait
X00190	0.00927095210437677	2.03287566257137	190
X00191	0.745953934583351	0.127287990991092	191
X00192	0.0848351057985821	1.07142439420993	192
X00193	0.0873995477570924	1.05849081458651	193
X00194	0.407521319732326	0.389849665942644	194
X00195	0.329938373996607	0.481567170220715	195
X00196	0.346760028678138	0.459970969803073	196
X00197	0.822835797185467	0.084686822735775	197
X00198	0.545205615990563	0.263439679284264	198
X00199	0.343059126066127	0.464631023072907	199
X00200	0.506003352667758	0.295846605610234	200
X00201	0.332662412333696	0.477996267475822	201
X00202	0.283198824125913	0.547908554219161	202
X00203	0.637219704904625	0.195710802866155	203
X00204	0.45913676731156	0.338057927880545	204
X00205	0.448076761614644	0.348647579104654	205
X00206	0.69131751807458	0.160322437900253	206
X00207	0.0703227720446516	1.15290401819641	207
X00208	0.258493684253503	0.587550063507605	208
X00209	0.124865754632052	0.903556653808422	209
X00210	0.638680398370447	0.194716412494252	210
X00211	0.332877276372556	0.477715850631382	211
X00212	0.189860622910372	0.721565098591133	212
X00213	0.0445911167966601	1.35075165049065	213
X00214	0.0672188061037223	1.17250920545134	214
X00215	0.691232801108589	0.160375661439952	215
X00216	0.815074971814074	0.0888024423671974	216
X00217	0.0847274820943079	1.07197569963344	217
X00218	0.146964329066444	0.832788063683892	218
X00219	0.565925092048111	0.247241049841934	219
X00220	0.77844884335793	0.108769922308908	220
X00221	0.532659056765617	0.273550684300467	221
X00222	0.987459643930553	0.00548064433583837	222
X00223	0.780263230159105	0.107758858694183	223
X00224	0.894168181892038	0.0485807881411779	224
X00225	0.307815118731373	0.511710053054385	225
X00226	0.615447972118267	0.210808654961722	226
X00227	0.958998291316661	0.0181821666274662	227
X00228	0.891098819990477	0.0500741314324848	228
X00229	0.752767729983562	0.12333900673072	229
X00230	0.898778517932634	0.046347316376196	230
X00231	0.10658359912697	0.972309618542554	231
X00232	0.516771945810759	0.286701071077772	232
X00233	0.480339687602392	0.318451528716772	233
X00234	0.501022735955245	0.300142565797701	234
X00235	0.588725081194702	0.230087461737639	235
X00236	0.0380208658302241	1.41997799738622	236
X00237	0.287190740411996	0.541829566702728	237
X00238	0.59039370341855	0.228858282934948	238
X00239	0.973116324398258	0.011835241926221	239
X00240	0.80308986565156	0.0952358545060254	240
X00241	0.223362013102132	0.650990684859191	241
X00242	0.793162552215387	0.10063779843816	242
X00243	0.3129547293062	0.504518481094015	243
X00244	0.323442949163649	0.490202311744689	244
X00245	0.476165001015903	0.322242529183681	245
X00246	0.00358376778188874	2.44566013916384	246
X00247	0.232004144920495	0.634504256057296	247
X00248	0.433899486748472	0.362610863589245	248
X00249	0.233881981158245	0.631003236014635	249
X00250	0.672091418303252	0.172571649915896	250
X00251	0.272469833687343	0.564681573344539	251
X00252	0.869865268355669	0.0605480091525681	252
X00253	0.817380294658368	0.0875758364363789	253
X00254	0.59504482044195	0.225450320763034	254
X00255	0.953086463612638	0.0208676985573589	255
X00256	0.0583104336248105	1.23425372894146	256
X00257	0.789414849182134	0.102694708625571	257
X00258	0.118103589939895	0.927736901138466	258
X00259	0.613532392244974	0.212162503186563	259
X00260	0.417508712112444	0.379334457706407	260
X00261	0.0813393062082555	1.08969953627384	261
X00262	0.563437949656362	0.249153905005027	262
X00263	0.870953501717741	0.0600050303958371	263
X00264	0.715233458209769	0.145552177690882	264
X00265	0.638924264083671	0.194550618586359	265
X00266	0.240376709187045	0.619107614712432	266
X00267	0.194663108464233	0.71071634590421	267
X00268	0.576776408305434	0.238992511728823	268
X00269	0.205883062366769	0.686379380546707	269
X00270	0.0271362107191469	1.56645079701008	270
X00271	0.757804648110485	0.120442735241358	271
X00272	0.928118908036091	0.0323963796047059	272
X00273	0.783766124523951	0.105813511271607	273
X00274	0.0882757210068265	1.05415872657702	274
X00275	0.775004489682269	0.110695781572932	275
X00276	0.643145709270954	0.191690623400126	276
X00277	0.593605382294204	0.226502169908821	277
X00278	0.212905361225264	0.671813402341702	278
X00279	0.240756277265077	0.61842238064769	279
X00280	0.23791504266691	0.623578097934578	280
X00281	0.80943171248864	0.0918197845144736	281
X00282	0.141701573732524	0.848625326467036	282
X00283	0.747351076664344	0.126475335480414	283
X00284	0.502914232341221	0.298506073784929	284
X00285	0.192236790094266	0.716163493847863	285
X00286	0.549315447722774	0.260178187677302	286
X00287	0.616779638150038	0.20986997215724	287
X00288	0.704882695979535	0.151883150707263	288
