line	Alpha	Alpha_SE	Beta	Beta_SE	condition	peak_genotype
RIL147	5.0872531891948	4.96214905594822e-05	0.00326472857850594	0.00032274971969349	Cviseg	peakCvi
RIL149	6.49501181556088	0.000195168436136028	0.00125067656877767	0.000378676311535889	Lerseg	peakLer
RIL149	2.53024331695449	0.000109072631208273	0.0014210238664511	0.000616715822261925	Cviseg	peakLer
RIL15	16.3623823296751	0.000192849592329075	0.00578944789705603	0.000702541426536457	Lerseg	peakCvi
RIL15	7.62358864126058	7.44583470358829e-05	0.00584732575914923	0.00058586726266285	Cviseg	peakCvi
RIL150	6.7651592199053	0.000186987068256956	0.00150040639123828	0.000418310358466176	Lerseg	peakLer
RIL150	3.74861061462041	9.1472513240876e-05	0.00216116331617099	0.000532489214912578	Cviseg	peakLer
RIL151	11.1264483816176	0.000102389241122897	0.00215118729469697	0.000200496086003525	Lerseg	peakLer
RIL151	5.26833529162971	5.32989902857256e-05	0.00279696947427793	0.000286483815198815	Cviseg	peakLer
RIL153	7.60417538555425	0.00010052008559492	0.00158657034115207	0.000211676423067232	Lerseg	peakLer
RIL153	3.80219270182469	5.57503256898673e-05	0.0022231367970615	0.000329357178903328	Cviseg	peakLer
RIL154	10.2481970259925	0.000102085162928379	0.00203791618551304	0.000205355446154121	Lerseg	peakLer
RIL154	5.02138842647251	4.32953930641272e-05	0.00272277861937457	0.000237837308334755	Cviseg	peakLer
RIL155	16.0957748724938	0.000303528788913383	0.00513726428690944	0.00099447545633664	Lerseg	peakCvi
RIL155	6.13295252983257	8.36973766512817e-05	0.00455610887757804	0.000634540601911432	Cviseg	peakCvi
RIL158	7.68956002070635	3.96276408050194e-05	0.00154745886949854	8.04820972176317e-05	Lerseg	peakLer
RIL158	4.08155915367475	2.40814276915033e-05	0.00221118101721806	0.00013185486417186	Cviseg	peakLer
RIL162	16.0716459170933	0.000263541299083338	0.00565541783244913	0.0009537279716491	Lerseg	peakCvi
RIL162	5.17966250888805	7.96884531000891e-05	0.00437345500809115	0.000685803883646885	Cviseg	peakCvi
RIL163	8.34570258000852	0.000109102211386864	0.00176909564239669	0.000233644082404321	Lerseg	peakLer
RIL163	4.73383199037607	5.16515774910097e-05	0.00292962293030424	0.000324125255703992	Cviseg	peakLer
RIL165	11.1189744048959	9.09450751744475e-05	0.00257384498880276	0.000213504077080676	Lerseg	peakLer
RIL165	4.51973278049154	3.41315187687235e-05	0.00289418302987894	0.000221432099144962	Cviseg	peakLer
RIL166	8.75892686271108	5.34081840133092e-05	0.00195072410999678	0.000120278238906798	Lerseg	peakLer
RIL166	4.65737179099343	2.72125209984638e-05	0.00278780807016465	0.000164983706378252	Cviseg	peakLer
RIL167	12.4206410405843	7.41774440935757e-05	0.00251546663711331	0.000152466967344211	Lerseg	peakLer
RIL167	5.69223239659746	4.42958176822382e-05	0.0033584312655575	0.000265439577660183	Cviseg	peakLer
RIL168	11.3762284458561	0.000266825701515269	0.00336197484574294	0.000802782404889565	Lerseg	peakCvi
RIL168	4.89131775997168	8.80908208908111e-05	0.00352702246991652	0.000644917307858746	Cviseg	peakCvi
RIL170	10.3598532272741	0.000125809860374817	0.00204739669360691	0.000251691697945805	Lerseg	peakLer
RIL170	5.73124338358007	7.90971624126007e-05	0.00323531675192214	0.000453546308223733	Cviseg	peakLer
RIL172	9.25809497476354	9.32254752879737e-05	0.00170564459526067	0.000173567559849667	Lerseg	peakLer
RIL172	5.51216424527527	3.98491075132353e-05	0.00281770713225474	0.000206309356265868	Cviseg	peakLer
RIL173	7.36565720472482	7.49731589539045e-05	0.00167476616219054	0.000172147151541281	Lerseg	peakLer
RIL173	3.94399164088566	3.8277425062345e-05	0.00234652549717377	0.000230156364145822	Cviseg	peakLer
RIL175	11.4286617238673	0.000152493150539655	0.00323731455002702	0.000439530760493237	Lerseg	peakCvi
RIL175	4.83445062180679	6.46276884907718e-05	0.0033489214448945	0.000454582579038294	Cviseg	peakCvi
RIL18	6.72432262871832	8.38392494900533e-05	0.0015383652057637	0.000193531910511859	Lerseg	peakLer
RIL18	3.79448645577854	3.51371096610054e-05	0.00233047499286276	0.000218161011625961	Cviseg	peakLer
RIL180	6.74436717103873	7.82777252952735e-05	0.00138562163854753	0.000162100098811715	Lerseg	peakLer
RIL180	3.70951107134336	5.42245849161729e-05	0.00197302597047704	0.000290907258592692	Cviseg	peakLer
RIL182	4.57901443619228	0.000145494374114162	0.00092894788739035	0.000296750254767624	Lerseg	peakLer
RIL182	2.86063251262177	6.9409958031997e-05	0.00161231876110189	0.000393809376034517	Cviseg	peakLer
RIL186	9.59147390972203	0.000110860309456851	0.00239035296557195	0.000279797271469773	Lerseg	peakCvi
RIL186	3.76112772273599	4.08266030079971e-05	0.00229005364490519	0.000251204404740384	Cviseg	peakCvi
RIL19	7.49030731040587	8.61370030675353e-05	0.00151289493438916	0.000175526440027288	Lerseg	peakLer
RIL19	4.25638718441685	4.89079383220307e-05	0.00252967627878856	0.000293990316870121	Cviseg	peakLer
RIL190	9.56438088736989	0.000135691348871325	0.00216675094307054	0.000311177542937482	Lerseg	peakLer
RIL190	5.3293822269377	5.64718326229545e-05	0.00315819308621012	0.000339556670873446	Cviseg	peakLer
RIL191	10.7229126203875	0.000128093294544105	0.00206198479395249	0.000249282858532933	Lerseg	peakLer
RIL191	4.15932632848784	5.36657120712767e-05	0.00238341605465889	0.000310300370046422	Cviseg	peakLer
RIL192	8.29653529815379	4.72837327927648e-05	0.00185080313661513	0.000106586190172341	Lerseg	peakLer
RIL192	4.07006973781143	1.94111478820064e-05	0.00242272616748097	0.000116876224247478	Cviseg	peakLer
RIL21	9.65144210271378	0.000201453370258242	0.00248779814730915	0.000526369576049917	Lerseg	peakCvi
RIL21	1.22884935151139	0.000127554783468461	0.000780694871868083	0.000813196579635309	Cviseg	peakCvi
RIL22	10.8477781908279	5.63639031564451e-05	0.00217457271106298	0.000114450416563788	Lerseg	peakLer
RIL22	5.1305340450613	4.34081588046294e-05	0.00254446656382439	0.000217914712658151	Cviseg	peakLer
RIL23	8.24506474379923	0.000130941129846895	0.00179709733015282	0.000288484108843605	Lerseg	peakLer
RIL23	4.34914488767526	7.51695926557323e-05	0.00250314764101609	0.000437857705542935	Cviseg	peakLer
RIL25	13.5540834199477	0.000174632595209713	0.00271728446073619	0.00035532882182753	Lerseg	peakLer
RIL25	5.94546738093197	8.38980995525113e-05	0.00335041416230625	0.000480023292763379	Cviseg	peakLer
RIL27	17.4277225249561	0.000175713948340173	0.00460186242579285	0.000475760088030892	Lerseg	peakCvi
RIL27	6.08146590367637	6.75850685996917e-05	0.00388659450413229	0.00043955018209392	Cviseg	peakCvi
RIL29	9.11365262709575	0.000183768603830804	0.00168091649655744	0.000342562898461398	Lerseg	peakLer
RIL29	4.50771674242601	6.45803567760028e-05	0.00256313677695624	0.000371713666029158	Cviseg	peakLer
RIL36	7.15875067446198	0.00010852178970003	0.00151433632243488	0.000231612678353277	Lerseg	peakLer
RIL36	2.93886472190682	4.18123521877046e-05	0.00180710702671501	0.000259178377163224	Cviseg	peakLer
RIL37	13.2837459251486	3.81760070783955e-07	0.0031614331940939	9.24592607422673e-07	Lerseg	peakCvi
RIL37	4.04323053496427	0.000126784462274382	0.00233577617292046	0.00074059128245849	Cviseg	peakCvi
RIL4	12.7522865159565	0.000154434171883941	0.00353345194787595	0.000435945216642818	Lerseg	peakCvi
RIL4	4.98824095480328	4.66872071403093e-05	0.0033544443273481	0.000318697161880311	Cviseg	peakCvi
RIL50	19.8155167390054	0.000324468564223131	0.00529511620138816	0.000891767767149634	Lerseg	peakCvi
RIL50	13.2559395326926	0.000331376315192791	0.00746798347158298	0.001932903169039	Cviseg	peakCvi
RIL54	8.74368130593329	0.000129460889421925	0.0021715160194355	0.000325558012844573	Lerseg	peakLer
RIL54	4.25535775072978	6.60927007135419e-05	0.00281819052139903	0.000443539217958868	Cviseg	peakLer
RIL55	14.7240544189619	0.000151357797675241	0.00346135843575091	0.000362512136468549	Lerseg	peakCvi
RIL55	6.08609927024976	5.80944122373854e-05	0.00370011453727157	0.000359288274342502	Cviseg	peakCvi
RIL58	5.32411653450946	0.000126582032618145	0.00111646923637703	0.000267065458516316	Lerseg	peakLer
RIL58	2.3547812511341	5.99311318690465e-05	0.00140554255987655	0.00035991949881821	Cviseg	peakLer
RIL59	8.59126363110384	4.29721417209328e-05	0.00194065758062448	9.81410182324154e-05	Lerseg	peakLer
RIL59	3.73739045961456	3.63135262999408e-05	0.00237539679944711	0.00023333387063172	Cviseg	peakLer
RIL6	12.5616723596658	0.000167018040703609	0.00330158902613516	0.000446932242326868	Lerseg	peakCvi
RIL6	4.566041859483	6.24660190075566e-05	0.0031957530722335	0.000443493901520845	Cviseg	peakCvi
RIL61	5.92222187068505	5.84446130613211e-05	0.00131975437859833	0.000131235853162532	Lerseg	peakLer
RIL61	2.8292281575564	4.05257200075714e-05	0.0018389194684121	0.000265565919677438	Cviseg	peakLer
RIL63	17.3650867416721	0.000283846579714348	0.00503333178780402	0.000844623485231949	Lerseg	peakCvi
RIL63	6.18040380523293	8.30983604302688e-05	0.00483773548657462	0.000664094830733575	Cviseg	peakCvi
RIL65	9.9205994208638	0.0002483581349371	0.00242387408482455	0.000615069933196333	Lerseg	peakLer
RIL65	4.27025579347745	9.64350091260139e-05	0.00280798174839309	0.000641719955668093	Cviseg	peakLer
RIL68	8.38704515129363	6.50042710305639e-05	0.00190441979255496	0.000149197782870356	Lerseg	peakLer
RIL68	3.88799373321504	2.8920894402368e-05	0.00241187854855194	0.000181522635453713	Cviseg	peakLer
RIL7	21.1092379396357	0.000129831353598023	0.0064573850849143	0.000410092251444566	Lerseg	peakCvi
RIL7	7.76933848220922	4.4165565904156e-05	0.00509730574757085	0.000296393168312953	Cviseg	peakCvi
RIL70	8.63360205830012	9.19762203331063e-05	0.00188641420851533	0.000203121776876066	Lerseg	peakLer
RIL70	3.95858156600514	2.98075650367235e-05	0.00234641470818197	0.000178590583505738	Cviseg	peakLer
RIL71	6.68435255764083	7.17206610904976e-05	0.00146072002861428	0.000158065947536859	Lerseg	peakLer
RIL71	3.47502576965817	4.47932337809701e-05	0.00201866791343324	0.000262670824516601	Cviseg	peakLer
