line	Alpha	Alpha_SE	Beta	Beta_SE	condition	peak_genotype
RIL186	1.57244244882257	1.84651286491219e-05	0.000624662216250049	7.35808709169049e-05	Cviseg	peakCvi
RIL19	2.68154043007765	3.28357960448528e-05	0.00108609223967733	0.000133703834884831	Lerseg	peakLer
RIL19	2.27418126621816	2.85548853576847e-05	0.000692062368381156	8.72291816756377e-05	Cviseg	peakLer
RIL190	3.55113659883532	5.02515565589865e-05	0.000651048607841784	9.2504732816467e-05	Lerseg	peakLer
RIL190	2.16442407613001	1.72112869097993e-05	0.00224100556802851	0.000179924390871299	Cviseg	peakLer
RIL191	3.30778634916899	6.09290425924472e-05	0.000896480695624572	0.00016589545924041	Lerseg	peakLer
RIL191	1.79310933485255	1.98232752243248e-05	0.00259008160395548	0.000289348513793292	Cviseg	peakLer
RIL192	2.78482142802584	2.10773794058076e-05	0.000832532494661451	6.32896611911848e-05	Lerseg	peakLer
RIL192	1.6078949797329	8.75992523337738e-06	0.00144059548723244	7.89831579278991e-05	Cviseg	peakLer
RIL21	2.69490855871229	5.36851880977115e-05	0.00118274295935494	0.000236984204490954	Lerseg	peakCvi
RIL21	0.631127366211568	4.34528585298499e-05	0.000222754083027305	0.000153564782986852	Cviseg	peakCvi
RIL22	3.56237506440072	2.1182436812618e-05	0.000913165219152053	5.45723505890601e-05	Lerseg	peakLer
RIL22	2.06038965166928	1.14041974247684e-05	0.00170516996567015	9.51029336699821e-05	Cviseg	peakLer
RIL23	2.57690594919822	5.46017783699895e-05	0.000902315352499614	0.00019207543733384	Lerseg	peakLer
RIL23	1.53558831120193	3.5116981384544e-05	0.000632809433921974	0.00014516940387249	Cviseg	peakLer
RIL25	4.74286636671632	4.34149791966905e-05	0.00178519327446366	0.000164798851110763	Lerseg	peakLer
RIL25	3.60458718741551	1.37728317039069e-05	0.00133386844974274	5.1303025845115e-05	Cviseg	peakLer
RIL27	5.55867920524353	4.35875689555069e-05	0.00152598643892793	0.000120633847763958	Lerseg	peakCvi
RIL27	2.20592219399497	2.14244005180301e-05	0.0028806383175461	0.000283219682412515	Cviseg	peakCvi
RIL29	3.74142076478618	4.80681442437707e-05	0.0013789806176066	0.000178376807502053	Lerseg	peakLer
RIL29	2.78271342587153	1.41488602172681e-05	0.00102614511441954	5.24489153505297e-05	Cviseg	peakLer
RIL36	2.67910797142014	2.49300252493077e-05	0.00104625006745034	9.78713529766879e-05	Lerseg	peakLer
RIL36	2.0112395956664	1.69399704404422e-05	0.000671762661692877	5.67736057121631e-05	Cviseg	peakLer
RIL37	4.44675188127236	2.81148412631091e-08	0.00132324651468946	8.42503356444829e-08	Lerseg	peakCvi
RIL37	1.74675558921172	2.02574317859012e-05	0.000921628769152774	0.000107337856604886	Cviseg	peakCvi
RIL4	3.50350360546091	4.83243023354022e-05	0.00128411062814489	0.000178272522017817	Lerseg	peakCvi
RIL4	1.79242705796938	1.88866609589827e-05	0.000813385717732005	8.60394263925072e-05	Cviseg	peakCvi
RIL50	5.94848929448907	7.67431724658883e-05	0.00201032831006819	0.000262048153038597	Lerseg	peakCvi
RIL50	4.95496008943639	0.000100099505540815	0.00245262558166668	0.000501097455064766	Cviseg	peakCvi
RIL54	3.79737734976226	4.17273648754131e-05	0.00132574040397619	0.000146643650891358	Lerseg	peakLer
RIL54	2.56419606683391	2.4337718889189e-05	0.000998575667586584	9.52390449830176e-05	Cviseg	peakLer
RIL55	4.5190969776546	3.96492546897745e-05	0.00334682192904371	0.000298209149094981	Lerseg	peakCvi
RIL55	3.04273147454833	2.34153945453176e-05	0.000892370503156894	6.9000011072845e-05	Cviseg	peakCvi
RIL58	1.581474685442	3.7034764506131e-05	0.000951503935467615	0.00022381984784711	Lerseg	peakLer
RIL58	1.74869868073238	2.43182983709444e-05	0.000583933659010188	8.14560294201073e-05	Cviseg	peakLer
RIL59	2.94187579959076	2.04325379642738e-05	0.000885799235371992	6.18093773575139e-05	Lerseg	peakLer
