,,,,,,,,,,,
Data_Type,Sample_name,Sample_id,Genotype (RIL_ID),Generation,Lineage,Sublineage,File_Name_Processed,Raw_File_Name_R1,Raw_File_Name_R2,Raw_File2_Name_R1,Raw_File2_Name_R2
WGBS,RIL13_G09_L02_1,RIL13_G09_L02_1_S87_L003,RIL13,9,2,1,methylome_RIL13_G09_L02_1_All.txt,RIL13_G09_L02_1_S87_L003_1.fastq.gz,RIL13_G09_L02_1_S87_L003_2.fastq.gz,,
WGBS,RIL13_G09_L02_2,RIL13_G09_L02_2_S123_L003,RIL13,9,2,2,methylome_RIL13_G09_L02_2_All.txt,RIL13_G09_L02_2_S123_L003_1.fastq.gz,RIL13_G09_L02_2_S123_L003_2.fastq.gz,,
WGBS,RIL13_G02_L02_4,RIL13_G02_L02_4_S13_L001,RIL13,2,2,4,methylome_RIL13_G02_L02_4_All.txt,RIL13_G02_L02_4_S13_L001_1.fastq.gz,RIL13_G02_L02_4_S13_L001_2.fastq.gz,,
WGBS,RIL15_G02_L01_3,RIL15_G02_L01_3_S119_L002,RIL15,2,1,3,methylome_RIL15_G02_L01_3_All.txt,RIL15_G02_L01_3_S119_L002_1.fastq.gz,RIL15_G02_L01_3_S119_L002_2.fastq.gz,,
WGBS,RIL15_G02_L01_4,RIL15_G02_L01_4_S139_L002,RIL15,2,1,4,methylome_RIL15_G02_L01_4_All.txt,RIL15_G02_L01_4_S139_L002_1.fastq.gz,RIL15_G02_L01_4_S139_L002_2.fastq.gz,,
WGBS,RIL15_G02_L02_3,RIL15_G02_L02_3_S71_L002,RIL15,2,2,3,methylome_RIL15_G02_L02_3_All.txt,RIL15_G02_L02_3_S71_L002_1.fastq.gz,RIL15_G02_L02_3_S71_L002_2.fastq.gz,,
WGBS,RIL15_G02_L02_4,RIL15_G02_L02_4_S121_L002,RIL15,2,2,4,methylome_RIL15_G02_L02_4_All.txt,RIL15_G02_L02_4_S121_L002_1.fastq.gz,RIL15_G02_L02_4_S121_L002_2.fastq.gz,,
WGBS,RIL15_G09_L02_2,RIL15_G09_L02_2_S94_L002,RIL15,9,2,2,methylome_RIL15_G09_L02_2_All.txt,RIL15_G09_L02_2_S94_L002_1.fastq.gz,RIL15_G09_L02_2_S94_L002_2.fastq.gz,,
WGBS,RIL18_G02_L01_4,RIL18_G02_L01_4_S46,RIL18,2,1,4,methylome_RIL18_G02_L01_4_All.txt,RIL18_G02_L01_4_S46_1.fastq.gz,RIL18_G02_L01_4_S46_2.fastq.gz,,
WGBS,RIL18_G02_L01_3,RIL18_G02_L01_3_S14_L002,RIL18,2,1,3,methylome_RIL18_G02_L01_3_All.txt,RIL18_G02_L01_3_S14_L002_1.fastq.gz,RIL18_G02_L01_3_S14_L002_2.fastq.gz,,
WGBS,RIL18_G02_L02_3,RIL18_G02_L02_3_S38_L002,RIL18,2,2,3,methylome_RIL18_G02_L02_3_All.txt,RIL18_G02_L02_3_S38_L002_1.fastq.gz,RIL18_G02_L02_3_S38_L002_2.fastq.gz,,
WGBS,RIL18_G02_L02_4,RIL18_G02_L02_4_S35_L002,RIL18,2,2,4,methylome_RIL18_G02_L02_4_All.txt,RIL18_G02_L02_4_S35_L002_1.fastq.gz,RIL18_G02_L02_4_S35_L002_2.fastq.gz,,
WGBS,RIL18_G09_L01_2,RIL18_G09_L01_2_S12_L001,RIL18,9,1,2,methylome_RIL18_G09_L01_2_All.txt,RIL18_G09_L01_2_S12_L001_1.fastq.gz,RIL18_G09_L01_2_S12_L001_2.fastq.gz,,
WGBS,RIL18_G09_L02_1,RIL18_G09_L02_1_S3_L001,RIL18,9,2,1,methylome_RIL18_G09_L02_1_All.txt,RIL18_G09_L02_1_S3_L001_1.fastq.gz,RIL18_G09_L02_1_S3_L001_2.fastq.gz,,
WGBS,RIL19_G02_L01_4,RIL19_G02_L01_4_S122_L002,RIL19,2,1,4,methylome_RIL19_G02_L01_4_All.txt,RIL19_G02_L01_4_S122_L002_1.fastq.gz,RIL19_G02_L01_4_S122_L002_2.fastq.gz,,
WGBS,RIL19_G02_L02_3,RIL19_G02_L02_3_S86_L002,RIL19,2,2,3,methylome_RIL19_G02_L02_3_All.txt,RIL19_G02_L02_3_S86_L002_1.fastq.gz,RIL19_G02_L02_3_S86_L002_2.fastq.gz,,
